First Name,Employment date,Position,Date of birth,Experience (years),Salary,Credit Card Number,Place of Birth,Zip Code,Number of kids,E-Mail,Pets,Review Text
Nero,2/28/15,Junior Developer,1/3/73 8:40,7,"$4,900.99",4.53398E+15,Brownsboro,98307,2,ipsum.dolor.sit@rutrummagna.com,Hamster, After several months of planning and research to find the perfect London hotel 41 was what I hoped it would be and more. This was a birthday trip to mother and sister and I wanted everything to be as perfect as possible. Chantal the resident manager made it all happen with the most warm and personal touches including balloons champagne a cake and gifts waiting in our room upon our arrival. Chantal and I had been emailing each other in the weeks preceeding the trip and I felt as if I knew her as a friend when we finally arrived.  This was by far the best hotel I have stayed at in London out of my previous 4 stays. The hotel itself is quaint yet beautiful with a cozy at-home feeling. From the street the entrance is quite inconspicuous and private which is very nice. The overall style is what I would describe as contemporary old-world style meets traditional English. The executive lounge is a large gorgeous living room type of space with multiple seating areas that are also for the morning breakfast sittings. In the evenings a well stocked bar is set up for evening cocktails. The very unconventional reception area is also here in this room as a mere executive desk with a flat screen computer monitor and two guest chairs. There's also an open loft in this room with additional seating desks and computers for business use.  The bedrooms themselves are absolutely lovely consistent with the look and feel of the rest of the hotel and very well equiped with everything you could possibly need. A web-tv type of set-up with cordless keyboard makes e-mail and internet access so very convenient. There is a fax machine mini bar cordless telephone to use anywhere in the hotel spacious closets and bathroom large enough to accomodate 3 of us ladies staying in the same room (now that is important!). There was a separate shower and bathtub and a lot of counter space.  I could go on and on about this place. Chantal and her staff could not be any more cordial and accomodating. We had originally planned to stay 4 days and 4 nights but ended up staying and extra day since we were having so much fun. Needless to say I would stay at the 41 again and again and highly recommend it!
Uriah,1/1/15,Senior Developer,2/4/66 14:30,7,"$3,003.75",5.15697E+15,Austell,32554,2,magna.Phasellus.dolor@nequetellusimperdiet.net,Rat, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Nathaniel,6/13/14,Senior QA,2/6/65 14:30,5,"$4,457.13",4.75461E+15,Bark River,88290,3,Duis.mi.enim@hendrerit.co.uk,Dog, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Ezekiel,7/10/15,Senior Developer,2/7/84 10:05,7,"$3,200.50",4.31923E+15,Austell,1427,2,libero.Integer.in@Quisquevarius.net,Parrot, An absolute nightmare. The worst hotel I've ever stayed in. My room smelled of smoke (and it was a non-smoking room). There was debris from a previous guest. I checked out early the next morning and got a room in Travelodge on W. Harrison. (only the Congress could make a Travelodge look so nice in comparison).To their credit the staff was understanding and friendly
Igor,5/23/14,Junior Developer,2/11/81 9:05,4,"$3,600.64",4.34909E+15,Dulles,63958,1,rutrum.Fusce@SeddictumProin.com,Pig, and the best hotel in london is the Kingsway hall hotel super location excellent staff perfect food fab rooms all in all its splendid. we will be back it helped make our stay in london fantastic.
Cody,1/11/14,Group Manager,3/9/65 16:15,4,"$3,665.65",4.5868E+15,Bark River,70722,3,posuere.at.velit@nisisemsemper.ca,Possum, After reading the reviews for many hotels in London I decided the Henty VIII combined the best service and price offerings. However I was sorely mistaken. In all objectivity it could not have been a bad hotel rooms were very clean the internet price was good for London and the continetal breakfast was pretty good.  However the desk staff including the hotel manager were very rude and condescending to me when I needed to address a problem that arose. To make a long story short the hotel added a 100 pound service fee to a phone call that should have cost less than 25 pounds (researched on British Telecom for actual price of the call) When politely questioned they at first told me the 20 minute cal I made lasted for 10 hours and that's why the call cost 130 pounds. Then they said the call lasted 261 minutes and that's why it cost 130 pounds. finally they said the call lasted 20 minutes and still cost 130 pounds.  The way they handled the explaination of the bill seems shady to me not to mention the rude way I was spoken to as though I were a dumb american.  Since they had my credit card number and security I had to sign the charge slip (though I wrote it was under duress on both copies) My Visa will be handling them now... Avoid this hotel like the plague.
Knox,6/13/14,QA engineer,3/9/82 8:10,3,"$4,800.73",5.13938E+15,Brooksville,55264,2,Curabitur.consequat@arcuNuncmauris.org,Cat, A good value and some unexpected amenities. Yes the rooms are small even with a king upgrade. The Aveda bath products Italian coffee in room flat screen TV extra pillows friendly staff and wine hour make a huge difference in the enjoyment of your stay. Do you like wine? Knock back a couple glasses of decent merlot or chardonnay free between 5-6pm. That would run $10-$15 most places. Like any downtown hotel room service and parking are expensive. Self park for $23 and look for a deal elsewhere on the weekend. Many lots discount to $10 a day. Walk across the street to Dunkin Donuts for a $1.75 bagel and skip the $11 continental breakfast that ends up being $16 with tax and gratituity. Save your cash for dinner. I paid $84 a night and have already booked 3 more nights for the end of September. Can't beat it for the price and the decor is very cool also.
Cooper,12/3/13,HR Manager,5/4/72 13:00,3,"$3,336.87",5.17189E+15,Leonardville,715,3,imperdiet.nec@arcuNunc.org,Coon, Had a great time here. The Dusty Baron show was outstanding. The chinese buffet was Excellent. Fremont St. much better than the strip. Looking forward to my next trip there.
Fritz,10/24/14,Junior Developer,5/7/75 18:15,5,"$2,340.36",4.31407E+15,Archbald,28584,3,lobortis.quis@idlibero.net,Cat, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
Fletcher,4/3/14,Senior Developer,5/9/72 15:05,8,"$4,007.03",4.70345E+15,Archbald,54771,1,tincidunt.nunc.ac@Phasellus.edu,Turtle, As one who has stayed over in the city many times I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others expect to spend C$75/day on top of the listed price for the taxes parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience I'd prefer the Chateau d'Argoat to all of them.
